Hello, this is a ping ABC!
Hello, this is a ping 12!
Hello, this is a new ping!
Hello, this is a 2nd ping!
Hello, this is a new ping!
Hello, this is a 3rd ping!
11
00
01
10
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 10 | IP: 192.168.1.7
Message: 11 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.7
Message: 01 | IP: 192.168.1.7
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
Message: 01 | IP: 192.168.1.233
Message: 10 | IP: 192.168.1.233
Message: 11 | IP: 192.168.1.233
Message: 00 | IP: 192.168.1.233
